country_code,year,medal_value
TRI,1976,3
TRI,1996,2
TRI,2000,3
TRI,2004,1
TRI,2008,10
TUN,1964,3
TUN,1968,4
TUN,1972,2
TUN,1996,1
TUN,2008,3
TUR,1936,4
TUR,1948,28
TUR,1952,7
TUR,1956,15
TUR,1960,25
TUR,1964,13
TUR,1968,6
TUR,1972,2
TUR,1984,3
TUR,1988,5
TUR,1992,12
TUR,1996,15
TUR,2000,11
TUR,2004,19
TUR,2008,14
UAE,2004,3
UGA,1968,3
UGA,1972,5
UGA,1980,2
UGA,1996,1
UKR,1996,59
UKR,2000,61
UKR,2004,74
UKR,2008,56
URS,1952,251
URS,1956,351
URS,1960,354
URS,1964,359
URS,1968,382
URS,1972,471
URS,1976,604
URS,1980,953
URS,1988,627
URU,1924,66
URU,1928,66
URU,1932,1
URU,1948,4
URU,1952,14
URU,1956,12
URU,1964,1
URU,2000,2
USA,1896,49
USA,1900,123
USA,1904,823
USA,1908,145
USA,1912,216
USA,1920,458
USA,1924,455
USA,1928,194
USA,1932,381
USA,1936,220
USA,1948,344
USA,1952,311
USA,1956,277
USA,1960,271
USA,1964,342
USA,1968,346
USA,1972,320
USA,1976,337
USA,1984,784
USA,1988,411
USA,1992,452
USA,1996,628
USA,2000,574
USA,2004,571
USA,2008,674
UZB,1996,3
UZB,2000,7
UZB,2004,10
UZB,2008,10
VEN,1952,1
VEN,1960,1
VEN,1968,3
VEN,1976,2
VEN,1980,2
VEN,1984,3
VEN,2004,2
VEN,2008,1
VIE,2000,2
VIE,2008,2
YUG,1924,6
YUG,1928,15
YUG,1936,2
YUG,1948,32
YUG,1952,52
YUG,1956,46
YUG,1960,50
YUG,1964,30
YUG,1968,69
YUG,1972,49
YUG,1976,37
YUG,1980,110
YUG,1984,186
YUG,1988,120
YUG,1996,40
YUG,2000,51
ZAM,1984,1
ZAM,1996,2
ZIM,1980,48
ZIM,2004,6
ZIM,2008,9
ZZX,1896,12
ZZX,1900,78
ZZX,1904,19
