country_code,1896,1900,1904,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008
SRI,..,..,..,..,..,..,..,..,..,..,2.0,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,..
SUD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0
SUI,7.0,42.0,4.0,..,..,43.0,122.0,69.0,2.0,71.0,64.0,56.0,3.0,16.0,12.0,16.0,16.0,15.0,6.0,24.0,14.0,3.0,27.0,27.0,11.0,17.0
SUR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0,1.0,..,..,..,..
SVK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.0,13.0,18.0,23.0
SWE,..,1.0,..,254.0,407.0,288.0,117.0,58.0,62.0,59.0,146.0,140.0,76.0,13.0,25.0,21.0,38.0,29.0,30.0,56.0,21.0,64.0,60.0,60.0,27.0,12.0
SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,..,3.0,..,1.0,..
TAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.0,..,..,..,..,..,..,..
TCH,..,..,..,..,..,10.0,16.0,32.0,8.0,39.0,51.0,51.0,14.0,37.0,103.0,50.0,54.0,23.0,106.0,..,20.0,19.0,..,..,..,..
TGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,..,..
THA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..,2.0,1.0,1.0,4.0,5.0,15.0,10.0
TJK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0
TOG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0
TPE,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,1.0,..,..,..,1.0,..,40.0,2.0,6.0,17.0,4.0
TRI,..,..,..,..,..,..,..,..,..,..,2.0,2.0,..,..,7.0,..,..,3.0,..,..,..,..,2.0,3.0,1.0,10.0
TUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0,4.0,2.0,..,..,..,..,..,1.0,..,..,3.0
TUR,..,..,..,..,..,..,..,..,..,4.0,28.0,7.0,15.0,25.0,13.0,6.0,2.0,..,..,3.0,5.0,12.0,15.0,11.0,19.0,14.0
UAE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0,..
UGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0,5.0,..,2.0,..,..,..,1.0,..,..,..
UKR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.0,61.0,74.0,56.0
URS,..,..,..,..,..,..,..,..,..,..,..,251.0,351.0,354.0,359.0,382.0,471.0,604.0,953.0,..,627.0,..,..,..,..,..
URU,..,..,..,..,..,..,66.0,66.0,1.0,..,4.0,14.0,12.0,..,1.0,..,..,..,..,..,..,..,..,2.0,..,..
USA,49.0,123.0,823.0,145.0,216.0,458.0,455.0,194.0,381.0,220.0,344.0,311.0,277.0,271.0,342.0,346.0,320.0,337.0,..,784.0,411.0,452.0,628.0,574.0,571.0,674.0
UZB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0,7.0,10.0,10.0
VEN,..,..,..,..,..,..,..,..,..,..,..,1.0,..,1.0,..,3.0,..,2.0,2.0,3.0,..,..,..,..,2.0,1.0
VIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,2.0
YUG,..,..,..,..,..,..,6.0,15.0,..,2.0,32.0,52.0,46.0,50.0,30.0,69.0,49.0,37.0,110.0,186.0,120.0,..,40.0,51.0,..,..
ZAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..,..,2.0,..,..,..
ZIM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.0,..,..,..,..,..,6.0,9.0
ZZX,12.0,78.0,19.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
