,year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
21237,1992,Weightlifting,Weightlifting,"KAKIASVILIS, Akakios",EUN,Men,"82.5 - 90kg, total (middle-heavyweight)",Gold,3
21236,1992,Weightlifting,Weightlifting,"WOLCZANIECKI, Sergiusz",POL,Men,"82.5 - 90kg, total (middle-heavyweight)",Bronze,1
21235,1992,Weightlifting,Weightlifting,"SIEMION, Krzysztof",POL,Men,"75 - 82.5kg, total (light-heavyweight)",Silver,2
21234,1992,Weightlifting,Weightlifting,"DIMAS, Pyrros",GRE,Men,"75 - 82.5kg, total (light-heavyweight)",Gold,3
21233,1992,Weightlifting,Weightlifting,"LARA, Pablo",CUB,Men,"67.5 - 75kg, total (middleweight)",Silver,2
21232,1992,Weightlifting,Weightlifting,"KASSAPU, Fedor",EUN,Men,"67.5 - 75kg, total (middleweight)",Gold,3
21231,1992,Weightlifting,Weightlifting,"KIM, Myong Nam",PRK,Men,"67.5 - 75kg, total (middleweight)",Bronze,1
21230,1992,Weightlifting,Weightlifting,"YOTOV, Yoto Vassilev",BUL,Men,"60 - 67.5kg, total (lightweight)",Silver,2
21229,1992,Weightlifting,Weightlifting,"MILITOSIAN, Israel",EUN,Men,"60 - 67.5kg, total (lightweight)",Gold,3
21228,1992,Weightlifting,Weightlifting,"BEHM, Andreas",GER,Men,"60 - 67.5kg, total (lightweight)",Bronze,1
21227,1992,Weightlifting,Weightlifting,"PECHALOV, Nikolay",BUL,Men,"56 - 60kg, total (featherweight)",Silver,2
21226,1992,Weightlifting,Weightlifting,"SULEYMANOGLU, Naim",TUR,Men,"56 - 60kg, total (featherweight)",Gold,3
21224,1992,Weightlifting,Weightlifting,"AKOEV, Artour",EUN,Men,"100 - 110kg, total (heavyweight)",Silver,2
20876,1992,Rowing,Rowing,"LIPA, Elisabeta",ROU,Women,double sculls (2x),Silver,2
21090,1992,Shooting,Shooting,"VENTURINI, Marco",ITA,Men,trap (125 targets),Bronze,1
21088,1992,Shooting,Shooting,"GIHA, Juan Jorge Yarve Jr.",PER,Men,skeet (125 targets),Silver,2
20953,1992,Rowing,Rowing,"BRUDEL, Ralf",GER,Men,four-oared shell with coxswain (4-),Silver,2
20952,1992,Rowing,Rowing,"TALAPAN, Viorel",ROU,Men,four-oared shell with coxswain (4-),Gold,3
20951,1992,Rowing,Rowing,"TAGA, Nicolaie",ROU,Men,four-oared shell with coxswain (4-),Gold,3
20950,1992,Rowing,Rowing,"RUICAN, Iulica",ROU,Men,four-oared shell with coxswain (4-),Gold,3
20949,1992,Rowing,Rowing,"RADUCANU, Dumitru",ROU,Men,four-oared shell with coxswain (4-),Gold,3
